活动类别,持续时间,开始时间,结束时间,备注
交流,1.3,06/18 21:53,06/18 23:08,
GDG,0.7,06/18 21:12,06/18 21:53,
Chaos,0.2,06/18 20:59,06/18 21:12,
Pt0,1.6,06/18 19:23,06/18 20:59,
学习,0.3,06/18 19:03,06/18 19:23,
Chaos,0.3,06/18 18:46,06/18 19:03,
用餐,0.6,06/18 18:13,06/18 18:46,
Chaos,0.7,06/18 17:30,06/18 18:13,
学习,0.6,06/18 16:56,06/18 17:30,
Chaos,0.4,06/18 16:33,06/18 16:56,
GDG,0.5,06/18 16:02,06/18 16:33,
学习,1.4,06/18 14:37,06/18 16:02,
Chaos,1.5,06/18 13:05,06/18 14:37,
用餐,0.8,06/18 12:18,06/18 13:05,
GDG,0.8,06/18 11:30,06/18 12:18,
学习,2.2,06/18 09:21,06/18 11:30,
Chaos,1.4,06/18 07:56,06/18 09:21,
睡眠,6.1,06/18 01:48,06/18 07:56,
Chaos,0.1,06/18 01:45,06/18 01:48,
学习,2.2,06/17 23:36,06/18 01:45,
电影,1.7,06/17 21:57,06/17 23:36,
Chaos,0.0,06/17 21:56,06/17 21:57,
用餐,1.4,06/17 20:30,06/17 21:56,
交通,0.3,06/17 20:09,06/17 20:30,
工作,1.2,06/17 18:58,06/17 20:09,
Chaos,0.2,06/17 18:48,06/17 18:58,
Pt0,2.2,06/17 16:33,06/17 18:48,
Chaos,0.3,06/17 16:14,06/17 16:33,
Pt0,0.8,06/17 15:28,06/17 16:14,
学习,0.6,06/17 14:50,06/17 15:28,
Chaos,0.1,06/17 14:43,06/17 14:50,
家务,0.3,06/17 14:25,06/17 14:43,
Chaos,1.5,06/17 12:54,06/17 14:25,
用餐,0.5,06/17 12:24,06/17 12:54,
交流,0.5,06/17 11:56,06/17 12:24,
购物,1.0,06/17 10:56,06/17 11:56,
Chaos,0.3,06/17 10:41,06/17 10:56,
工作,0.4,06/17 10:15,06/17 10:41,
Chaos,1.7,06/17 08:32,06/17 10:15,
睡眠,7.1,06/17 01:30,06/17 08:33,
阅读,2.0,06/16 23:30,06/17 01:30,
电影,3.0,06/16 20:30,06/16 23:30,
家务,1.7,06/16 18:46,06/16 20:30,
交通,0.3,06/16 18:28,06/16 18:46,
Pt0,1.6,06/16 16:50,06/16 18:28,
Pt0,0.2,06/16 16:41,06/16 16:50,
Chaos,0.4,06/16 16:18,06/16 16:41,
工作,1.0,06/16 15:16,06/16 16:18,
Chaos,2.7,06/16 12:35,06/16 15:16,
用餐,0.5,06/16 12:06,06/16 12:35,
Chaos,3.1,06/16 08:57,06/16 12:06,
睡眠,7.1,06/16 01:54,06/16 08:57,
阅读,4.7,06/15 21:10,06/16 01:54,
用餐,0.7,06/15 20:30,06/15 21:10,
交通,0.3,06/15 20:15,06/15 20:30,
工作,2.5,06/15 17:43,06/15 20:15,
交流,1.3,06/15 16:27,06/15 17:43,
Pt0,1.1,06/15 15:20,06/15 16:27,
Chaos,2.5,06/15 12:49,06/15 15:20,
交通,0.2,06/15 12:39,06/15 12:49,
用餐,0.4,06/15 12:16,06/15 12:39,
Pt0,0.8,06/15 11:27,06/15 12:16,
Chaos,0.6,06/15 10:54,06/15 11:27,
Pt0,0.8,06/15 10:07,06/15 10:54,
Chaos,2.0,06/15 08:07,06/15 10:07,
睡眠,6.8,06/15 01:18,06/15 08:07,
阅读,4.3,06/14 20:58,06/15 01:18,
用餐,1.2,06/14 19:44,06/14 20:58,
Chaos,1.0,06/14 18:46,06/14 19:44,
Pt0,4.3,06/14 14:31,06/14 18:46,
Chaos,2.0,06/14 12:28,06/14 14:31,
用餐,0.5,06/14 11:58,06/14 12:28,
Chaos,0.6,06/14 11:22,06/14 11:58,
O.B.P,0.5,06/14 10:53,06/14 11:22,
Pt0,1.0,06/14 09:55,06/14 10:53,
Chaos,0.6,06/14 09:18,06/14 09:55,
睡眠,7.5,06/14 01:49,06/14 09:18,
阅读,4.9,06/13 20:57,06/14 01:49,
Chaos,0.3,06/13 20:42,06/13 20:57,
GDG,0.6,06/13 20:04,06/13 20:42,
Chaos,1.4,06/13 18:38,06/13 20:03,
GDG,2.2,06/13 16:23,06/13 18:38,
Chaos,2.0,06/13 14:21,06/13 16:23,
GDG,1.6,06/13 12:43,06/13 14:21,
工作,0.2,06/13 12:28,06/13 12:43,
Chaos,3.7,06/13 08:45,06/13 12:28,
睡眠,6.8,06/13 01:56,06/13 08:45,
Chaos,4.4,06/12 21:34,06/13 01:56,
用餐,1.1,06/12 20:30,06/12 21:34,
Chaos,0.5,06/12 19:59,06/12 20:30,
GDG,2.0,06/12 18:00,06/12 19:59,
Pt0,2.5,06/12 15:30,06/12 18:00,
Pt0,0.3,06/12 15:12,06/12 15:30,
GDG,0.1,06/12 15:04,06/12 15:12,
用餐,1.0,06/12 14:06,06/12 15:04,
工作,0.1,06/12 14:02,06/12 14:06,
Chaos,2.1,06/12 11:54,06/12 14:02,
Chaos,1.7,06/12 10:10,06/12 11:54,
睡眠,2.5,06/12 07:38,06/12 10:10,
睡眠,6.1,06/12 01:35,06/12 07:38,
阅读,4.0,06/11 21:37,06/12 01:35,
用餐,0.9,06/11 20:46,06/11 21:37,
Chaos,0.2,06/11 20:32,06/11 20:46,
工作,0.9,06/11 19:36,06/11 20:32,
电影,2.8,06/11 16:49,06/11 19:36,
Chaos,0.8,06/11 16:00,06/11 16:49,
GDG,0.5,06/11 15:30,06/11 16:00,
工作,0.1,06/11 15:26,06/11 15:30,
Chaos,4.1,06/11 11:21,06/11 15:26,
交通,0.3,06/11 11:06,06/11 11:21,
Chaos,0.7,06/11 10:21,06/11 11:06,
睡眠,9.7,06/11 00:39,06/11 10:21,
阅读,1.7,06/10 22:58,06/11 00:39,
Chaos,2.0,06/10 20:58,06/10 22:58,
交通,1.1,06/10 19:54,06/10 20:58,
Chaos,1.5,06/10 18:21,06/10 19:54,
Pt0,4.0,06/10 14:20,06/10 18:22,
Chaos,4.9,06/10 09:28,06/10 14:20,
睡眠,8.5,06/10 00:56,06/10 09:28,
阅读,2.7,06/09 22:13,06/10 00:56,
Chaos,0.5,06/09 21:46,06/09 22:13,
电影,4.8,06/09 16:57,06/09 21:46,
GDG,1.6,06/09 15:24,06/09 16:57,
交流,0.6,06/09 14:45,06/09 15:24,
Chaos,0.2,06/09 14:36,06/09 14:45,
交通,0.2,06/09 14:22,06/09 14:36,
Chaos,1.5,06/09 12:54,06/09 14:22,
用餐,0.7,06/09 12:10,06/09 12:54,
交流,1.7,06/09 10:26,06/09 12:10,
阅读,0.4,06/09 10:02,06/09 10:26,
Chaos,2.1,06/09 07:54,06/09 10:02,
睡眠,6.5,06/09 01:24,06/09 07:54,
阅读,6.0,06/08 19:22,06/09 01:24,
家务,0.1,06/08 19:16,06/08 19:22,
Chaos,0.4,06/08 18:53,06/08 19:16,
用餐,0.8,06/08 18:06,06/08 18:53,
Chaos,1.6,06/08 16:32,06/08 18:06,
工作,1.5,06/08 15:02,06/08 16:32,
Chaos,2.8,06/08 12:14,06/08 15:02,
交通,0.1,06/08 12:09,06/08 12:14,
工作,0.4,06/08 11:42,06/08 12:08,
Chaos,3.5,06/08 08:11,06/08 11:42,
睡眠,6.7,06/08 01:28,06/08 08:11,
阅读,0.3,06/08 01:08,06/08 01:28,
Chaos,3.5,06/07 21:39,06/08 01:08,
电影,3.1,06/07 18:34,06/07 21:39,
用餐,0.5,06/07 18:03,06/07 18:34,
工作,0.2,06/07 17:53,06/07 18:03,
阅读,0.1,06/07 17:44,06/07 17:53,
Chaos,0.1,06/07 17:37,06/07 17:44,
工作,0.9,06/07 16:40,06/07 17:37,
工作,2.0,06/07 14:40,06/07 16:41,
Chaos,1.3,06/07 13:23,06/07 14:40,
用餐,0.7,06/07 12:41,06/07 13:23,
交流,1.9,06/07 10:45,06/07 12:41,
工作,0.1,06/07 10:36,06/07 10:45,
娱乐,0.3,06/07 10:20,06/07 10:36,
GDG,0.8,06/07 09:33,06/07 10:19,
Chaos,1.7,06/07 07:52,06/07 09:33,
睡眠,5.7,06/07 02:08,06/07 07:52,
阅读,4.1,06/06 22:03,06/07 02:08,
Chaos,1.9,06/06 20:08,06/06 22:03,
工作,1.6,06/06 18:32,06/06 20:08,
工作,3.4,06/06 15:08,06/06 18:32,
工作,0.7,06/06 14:28,06/06 15:08,
Chaos,2.2,06/06 12:14,06/06 14:28,
家务,1.3,06/06 10:53,06/06 12:14,
GDG,1.2,06/06 09:40,06/06 10:53,
工作,1.1,06/06 08:35,06/06 09:40,
Chaos,0.9,06/06 07:41,06/06 08:35,
睡眠,5.8,06/06 01:55,06/06 07:41,
阅读,2.6,06/05 23:21,06/06 01:55,
家务,2.1,06/05 21:16,06/05 23:21,
交通,0.3,06/05 20:58,06/05 21:16,
工作,1.7,06/05 19:14,06/05 20:58,
用餐,1.0,06/05 18:15,06/05 19:14,
交流,0.7,06/05 17:30,06/05 18:15,
工作,2.9,06/05 14:33,06/05 17:30,
Chaos,2.2,06/05 12:21,06/05 14:33,
交通,0.1,06/05 12:17,06/05 12:21,
用餐,0.3,06/05 11:57,06/05 12:17,
交流,1.6,06/05 10:21,06/05 11:57,
工作,1.3,06/05 09:06,06/05 10:21,
Chaos,1.4,06/05 07:43,06/05 09:06,
睡眠,6.4,06/05 01:20,06/05 07:43,
阅读,0.9,06/05 00:26,06/05 01:20,
家务,3.3,06/04 21:06,06/05 00:26,
Chaos,0.6,06/04 20:31,06/04 21:06,
GDG,1.7,06/04 18:48,06/04 20:31,
用餐,0.7,06/04 18:09,06/04 18:48,
交流,1.4,06/04 16:44,06/04 18:09,
工作,0.1,06/04 16:40,06/04 16:44,
交流,1.3,06/04 15:20,06/04 16:40,
Chaos,0.8,06/04 14:29,06/04 15:20,
交通,0.2,06/04 14:17,06/04 14:29,
Chaos,1.5,06/04 12:48,06/04 14:17,
交通,0.1,06/04 12:41,06/04 12:48,
用餐,0.7,06/04 11:57,06/04 12:41,
工作,0.3,06/04 11:41,06/04 11:57,
阅读,1.7,06/04 10:00,06/04 11:41,
工作,1.0,06/04 09:03,06/04 10:00,
Chaos,1.7,06/04 07:23,06/04 09:03,
睡眠,6.6,06/04 00:48,06/04 07:23,
阅读,0.9,06/03 23:55,06/04 00:48,
家务,2.8,06/03 21:05,06/03 23:55,
Chaos,0.3,06/03 20:50,06/03 21:05,
阅读,2.1,06/03 18:41,06/03 20:50,
用餐,0.4,06/03 18:15,06/03 18:41,
GDG,0.3,06/03 17:54,06/03 18:15,
