学习,0.4,07/24 17:23,07/24 17:47,
Chaos,2.1,07/24 15:15,07/24 17:23,
交通,0.2,07/24 15:04,07/24 15:15,
家务,0.7,07/24 14:20,07/24 15:04,
Chaos,1.8,07/24 12:32,07/24 14:20,
用餐,0.5,07/24 12:00,07/24 12:32,
Chaos,0.9,07/24 11:06,07/24 12:00,
工作,0.4,07/24 10:42,07/24 11:06,
Chaos,1.1,07/24 09:37,07/24 10:42,
用餐,1.3,07/24 08:21,07/24 09:37,
Chaos,0.5,07/24 07:52,07/24 08:21,
家务,0.6,07/24 07:17,07/24 07:52,
睡眠,5.9,07/24 01:25,07/24 07:17,
上网,1.9,07/23 23:29,07/24 01:25,
交通,0.5,07/23 22:59,07/23 23:29,
学习,3.0,07/23 20:00,07/23 22:59,
家务,5.4,07/23 14:33,07/23 20:00,
Chaos,2.0,07/23 12:34,07/23 14:33,
交通,0.2,07/23 12:22,07/23 12:34,
用餐,0.5,07/23 11:54,07/23 12:22,
Chaos,1.2,07/23 10:39,07/23 11:54,
GDG,1.1,07/23 09:35,07/23 10:39,
Chaos,0.9,07/23 08:40,07/23 09:35,
家务,0.9,07/23 07:44,07/23 08:40,
睡眠,7.8,07/22 23:55,07/23 07:44,
Chaos,2.3,07/22 21:37,07/22 23:55,
家务,1.4,07/22 20:10,07/22 21:37,
交通,0.3,07/22 19:51,07/22 20:10,
阅读,0.9,07/22 19:00,07/22 19:51,
用餐,0.6,07/22 18:25,07/22 19:00,
GDG,1.1,07/22 17:18,07/22 18:25,
交流,0.6,07/22 16:41,07/22 17:18,
GDG,1.0,07/22 15:38,07/22 16:41,
家务,1.6,07/22 14:01,07/22 15:38,
Chaos,1.2,07/22 12:48,07/22 14:01,
用餐,0.7,07/22 12:05,07/22 12:48,
工作,0.6,07/22 11:30,07/22 12:05,
Chaos,2.3,07/22 09:14,07/22 11:30,
用餐,0.4,07/22 08:49,07/22 09:14,
Chaos,1.3,07/22 07:33,07/22 08:49,
睡眠,7.0,07/22 00:35,07/22 07:33,
Chaos,5.1,07/21 19:29,07/22 00:35,
用餐,1.3,07/21 18:14,07/21 19:29,
Chaos,2.0,07/21 16:15,07/21 18:14,
睡眠,2.7,07/21 13:32,07/21 16:15,
用餐,1.9,07/21 11:37,07/21 13:32,
购物,2.4,07/21 09:10,07/21 11:37,
睡眠,9.1,07/21 00:02,07/21 09:10,
Chaos,0.7,07/20 23:21,07/21 00:02,
用餐,0.3,07/20 23:00,07/20 23:21,
Chaos,0.9,07/20 22:06,07/20 23:00,
交通,3.8,07/20 18:19,07/20 22:06,
购物,4.6,07/20 13:40,07/20 18:19,
交通,2.5,07/20 11:10,07/20 13:40,
交通,1.0,07/20 10:10,07/20 11:11,
用餐,0.8,07/20 09:22,07/20 10:10,
Chaos,1.2,07/20 08:08,07/20 09:22,
睡眠,8.9,07/19 23:13,07/20 08:08,
Chaos,5.1,07/19 18:05,07/19 23:13,
交流,1.6,07/19 16:29,07/19 18:05,
工作,1.9,07/19 14:37,07/19 16:29,
Chaos,1.0,07/19 13:35,07/19 14:37,
用餐,0.6,07/19 12:57,07/19 13:35,
Chaos,0.2,07/19 12:47,07/19 12:57,
GDG,1.3,07/19 11:31,07/19 12:47,
交流,0.8,07/19 10:45,07/19 11:31,
工作,1.7,07/19 09:04,07/19 10:45,
Chaos,0.3,07/19 08:46,07/19 09:04,
用餐,0.2,07/19 08:31,07/19 08:46,
Chaos,0.8,07/19 07:41,07/19 08:31,
睡眠,8.1,07/18 23:36,07/19 07:41,
Chaos,0.8,07/18 22:49,07/18 23:36,
家务,1.2,07/18 21:38,07/18 22:49,
Chaos,2.5,07/18 19:11,07/18 21:38,
用餐,1.6,07/18 17:33,07/18 19:11,
Chaos,0.2,07/18 17:18,07/18 17:33,
交通,1.4,07/18 15:54,07/18 17:18,
交通,3.4,07/18 12:29,07/18 15:54,
阅读,0.2,07/18 12:16,07/18 12:29,
交通,3.2,07/18 09:04,07/18 12:16,
Chaos,0.3,07/18 08:46,07/18 09:04,
睡眠,7.3,07/18 01:30,07/18 08:46,
Chaos,3.8,07/17 21:30,07/18 01:20,
工作,0.2,07/17 21:14,07/17 21:27,
学习,0.8,07/17 20:24,07/17 21:14,
Chaos,1.2,07/17 19:15,07/17 20:24,
工作,0.8,07/17 18:29,07/17 19:15,
学习,1.5,07/17 16:57,07/17 18:29,
工作,1.9,07/17 15:05,07/17 16:57,
交流,0.5,07/17 14:32,07/17 15:05,
Chaos,2.1,07/17 12:25,07/17 14:32,
Pt0,0.6,07/17 11:47,07/17 12:25,
交流,0.7,07/17 11:04,07/17 11:47,
工作,2.3,07/17 08:44,07/17 11:04,
睡眠,7.3,07/17 01:26,07/17 08:44,
Chaos,1.7,07/16 23:46,07/17 01:26,
工作,2.1,07/16 21:38,07/16 23:46,
电影,2.7,07/16 18:58,07/16 21:38,
交通,0.4,07/16 18:36,07/16 18:58,
Chaos,1.4,07/16 17:13,07/16 18:36,
Pt0,2.1,07/16 15:04,07/16 17:13,
Chaos,3.0,07/16 12:04,07/16 15:04,
工作,2.7,07/16 09:21,07/16 12:04,
用餐,0.7,07/16 08:41,07/16 09:21,
Chaos,0.2,07/16 08:27,07/16 08:41,
睡眠,8.0,07/16 00:24,07/16 08:27,
电影,2.3,07/15 22:03,07/16 00:24,
Chaos,2.1,07/15 19:59,07/15 22:03,
用餐,0.9,07/15 19:08,07/15 19:59,
Chaos,0.1,07/15 19:02,07/15 19:08,
工作,2.7,07/15 16:22,07/15 19:02,
Chaos,0.4,07/15 15:57,07/15 16:22,
GDG,1.5,07/15 14:30,07/15 15:57,
Chaos,1.7,07/15 12:48,07/15 14:30,
Pt0,1.1,07/15 11:40,07/15 12:48,
用餐,1.8,07/15 09:51,07/15 11:40,
Chaos,0.3,07/15 09:32,07/15 09:51,
睡眠,7.2,07/15 02:23,07/15 09:32,
电影,1.8,07/15 00:35,07/15 02:23,
Chaos,0.2,07/15 00:20,07/15 00:35,
Pt0,4.6,07/14 19:42,07/15 00:20,
娱乐,4.1,07/14 15:36,07/14 19:42,
Pt0,2.6,07/14 13:00,07/14 15:36,
Pt0,2.1,07/14 10:53,07/14 13:00,
用餐,1.0,07/14 09:54,07/14 10:53,
Chaos,0.3,07/14 09:39,07/14 09:54,
睡眠,10.4,07/13 23:17,07/14 09:39,
电影,2.6,07/13 20:41,07/13 23:17,
Chaos,1.2,07/13 19:26,07/13 20:41,
Pt0,3.1,07/13 16:23,07/13 19:26,
Chaos,2.5,07/13 13:52,07/13 16:23,
Pt0,2.6,07/13 11:16,07/13 13:52,
用餐,1.0,07/13 10:16,07/13 11:16,
Chaos,0.8,07/13 09:28,07/13 10:16,
睡眠,7.5,07/13 02:00,07/13 09:28,
Chaos,3.3,07/12 22:44,07/13 02:00,
Pt0,1.8,07/12 20:56,07/12 22:44,
交流,2.0,07/12 18:57,07/12 20:55,
Pt0,2.5,07/12 16:28,07/12 18:57,
交流,0.3,07/12 16:09,07/12 16:28,
工作,1.7,07/12 14:25,07/12 16:09,
Chaos,2.3,07/12 12:05,07/12 14:25,
Pt0,1.2,07/12 10:52,07/12 12:05,
Chaos,0.6,07/12 10:15,07/12 10:52,
用餐,0.5,07/12 09:47,07/12 10:15,
Chaos,0.4,07/12 09:22,07/12 09:47,
睡眠,6.7,07/12 02:38,07/12 09:22,
Chaos,0.8,07/12 01:52,07/12 02:38,
电影,3.0,07/11 22:55,07/12 01:52,
工作,1.7,07/11 21:14,07/11 22:55,
用餐,1.1,07/11 20:05,07/11 21:13,
工作,5.7,07/11 14:23,07/11 20:05,
Chaos,2.3,07/11 12:07,07/11 14:23,
工作,1.6,07/11 10:32,07/11 12:07,
Chaos,0.1,07/11 10:26,07/11 10:32,
用餐,0.9,07/11 09:34,07/11 10:26,
Chaos,0.5,07/11 09:04,07/11 09:34,
睡眠,6.9,07/11 02:10,07/11 09:04,
Chaos,1.8,07/11 00:19,07/11 02:10,
工作,1.1,07/10 23:13,07/11 00:19,
Chaos,1.3,07/10 21:57,07/10 23:13,
用餐,2.7,07/10 19:13,07/10 21:57,
Chaos,0.1,07/10 19:06,07/10 19:13,
工作,4.1,07/10 15:01,07/10 19:06,
Chaos,3.1,07/10 11:55,07/10 15:01,
工作,1.7,07/10 10:13,07/10 11:55,
Chaos,0.8,07/10 09:26,07/10 10:13,
睡眠,8.6,07/10 00:53,07/10 09:26,
Chaos,3.0,07/09 21:50,07/10 00:53,
用餐,0.7,07/09 21:06,07/09 21:50,
Chaos,0.4,07/09 20:41,07/09 21:06,
交流,2.1,07/09 18:36,07/09 20:41,
工作,1.1,07/09 17:28,07/09 18:36,
Chaos,0.2,07/09 17:18,07/09 17:28,
交通,1.3,07/09 15:58,07/09 17:18,
Chaos,1.1,07/09 14:55,07/09 15:58,
用餐,2.0,07/09 12:56,07/09 14:55,
交通,1.3,07/09 11:36,07/09 12:56,
Chaos,0.5,07/09 11:05,07/09 11:36,
工作,0.4,07/09 10:40,07/09 11:05,
Chaos,3.0,07/09 07:40,07/09 10:40,
睡眠,6.3,07/09 01:25,07/09 07:41,
阅读,3.0,07/08 22:25,07/09 01:25,
Chaos,1.4,07/08 21:03,07/08 22:25,
用餐,1.5,07/08 19:31,07/08 21:03,
交流,0.9,07/08 18:39,07/08 19:31,
工作,1.4,07/08 17:17,07/08 18:39,
Chaos,1.2,07/08 16:07,07/08 17:17,
工作,1.8,07/08 14:16,07/08 16:07,
Chaos,2.3,07/08 11:55,07/08 14:16,
工作,2.6,07/08 09:20,07/08 11:55,
睡眠,8.3,07/08 01:04,07/08 09:20,
Chaos,3.0,07/07 22:03,07/08 01:04,
用餐,2.4,07/07 19:41,07/07 22:03,
交流,4.0,07/07 15:41,07/07 19:41,
Chaos,2.8,07/07 12:55,07/07 15:41,
用餐,1.0,07/07 11:55,07/07 12:56,
阅读,0.5,07/07 11:23,07/07 11:55,
GDG,1.6,07/07 09:45,07/07 11:23,
Chaos,0.8,07/07 08:56,07/07 09:45,
睡眠,6.4,07/07 02:30,07/07 08:56,
阅读,2.4,07/07 00:09,07/07 02:30,
Chaos,0.5,07/06 23:39,07/07 00:09,
交流,0.9,07/06 22:45,07/06 23:39,
Chaos,4.5,07/06 18:17,07/06 22:45,
交通,0.9,07/06 17:24,07/06 18:17,
阅读,0.6,07/06 16:50,07/06 17:24,
Chaos,2.1,07/06 14:42,07/06 16:50,
阅读,0.5,07/06 14:12,07/06 14:42,
交流,5.7,07/06 08:28,07/06 14:12,
交通,0.2,07/06 08:14,07/06 08:28,
Chaos,0.2,07/06 08:00,07/06 08:14,
睡眠,6.8,07/06 01:11,07/06 08:00,
阅读,2.2,07/05 22:58,07/06 01:11,
Chaos,0.5,07/05 22:29,07/05 22:58,
工作,0.7,07/05 21:45,07/05 22:29,
Chaos,1.6,07/05 20:08,07/05 21:45,
用餐,0.7,07/05 19:24,07/05 20:08,
Chaos,0.9,07/05 18:31,07/05 19:24,
Pt0,0.5,07/05 18:02,07/05 18:31,
Chaos,0.9,07/05 17:05,07/05 18:02,
Pt0,1.4,07/05 15:40,07/05 17:05,
Chaos,0.1,07/05 15:33,07/05 15:40,
交流,0.8,07/05 14:43,07/05 15:33,
交流,0.6,07/05 14:06,07/05 14:43,
交通,0.1,07/05 14:02,07/05 14:06,
Chaos,1.3,07/05 12:42,07/05 14:02,
用餐,0.6,07/05 12:08,07/05 12:42,
Chaos,0.0,07/05 12:05,07/05 12:08,
交流,2.0,07/05 10:05,07/05 12:05,
用餐,0.5,07/05 09:32,07/05 10:05,
Chaos,0.6,07/05 08:54,07/05 09:32,
睡眠,6.7,07/05 02:10,07/05 08:54,
电影,2.6,07/04 23:32,07/05 02:10,
Chaos,0.2,07/04 23:18,07/04 23:32,
工作,1.5,07/04 21:49,07/04 23:18,
交通,1.0,07/04 20:51,07/04 21:49,
Pt0,3.7,07/04 17:07,07/04 20:51,
工作,2.3,07/04 14:49,07/04 17:07,
Chaos,0.8,07/04 14:01,07/04 14:49,
用餐,1.1,07/04 12:57,07/04 14:01,
工作,2.5,07/04 10:26,07/04 12:57,
Chaos,1.0,07/04 09:26,07/04 10:26,
用餐,1.1,07/04 08:19,07/04 09:26,
交通,0.2,07/04 08:07,07/04 08:19,
睡眠,6.9,07/04 01:13,07/04 08:07,
Chaos,0.0,07/04 01:10,07/04 01:13,
阅读,2.2,07/03 23:01,07/04 01:10,
交通,0.4,07/03 22:36,07/03 23:01,
工作,1.2,07/03 21:24,07/03 22:36,
用餐,0.9,07/03 20:29,07/03 21:24,
工作,2.5,07/03 17:59,07/03 20:29,
Chaos,1.0,07/03 17:00,07/03 17:59,
工作,2.6,07/03 14:26,07/03 17:00,
交通,0.2,07/03 14:16,07/03 14:26,
Chaos,1.5,07/03 12:45,07/03 14:16,
用餐,0.5,07/03 12:17,07/03 12:45,
工作,2.4,07/03 09:52,07/03 12:17,
用餐,1.1,07/03 08:47,07/03 09:52,
Chaos,0.3,07/03 08:27,07/03 08:47,
睡眠,8.6,07/02 23:51,07/03 08:27,
阅读,0.3,07/02 23:32,07/02 23:51,
Chaos,1.1,07/02 22:27,07/02 23:32,
GDG,1.0,07/02 21:26,07/02 22:27,
用餐,1.7,07/02 19:45,07/02 21:26,
Chaos,0.3,07/02 19:27,07/02 19:45,
工作,4.8,07/02 14:40,07/02 19:27,
Chaos,0.3,07/02 14:25,07/02 14:40,
用餐,2.0,07/02 12:24,07/02 14:25,
交通,6.6,07/02 05:50,07/02 12:24,
Chaos,0.7,07/02 05:08,07/02 05:50,
睡眠,5.1,07/02 00:05,07/02 05:08,
阅读,2.7,07/01 21:20,07/02 00:05,
Chaos,2.0,07/01 19:23,07/01 21:20,
交通,10.8,07/01 08:32,07/01 19:23,
家务,1.0,07/01 07:31,07/01 08:32,
睡眠,7.3,07/01 00:10,07/01 07:31,
Chaos,1.0,06/30 23:11,07/01 00:10,
活动类别,持续时间,Percent
Life,368.8,48.0
Output,180.8,23.5
Chaos,162.9,21.2
Input,28.1,3.7
Livin,27.0,3.5
其他,0.4,0.0
总计,768.0
