活动类别,持续时间,开始时间,结束时间,备注
睡眠,8.8,05/16 12:55,05/16 21:44,
用餐,3.1,05/16 09:49,05/16 12:55,
GDG,11.4,05/15 22:28,05/16 09:49,
Chaos,1.1,05/15 21:24,05/15 22:27,
睡眠,5.5,05/15 15:57,05/15 21:24,
Chaos,2.4,05/15 13:31,05/15 15:57,
用餐,3.5,05/15 10:03,05/15 13:31,
GDG,11.9,05/14 22:06,05/15 10:03,
睡眠,5.7,05/14 16:25,05/14 22:06,
GDG,3.2,05/14 13:11,05/14 16:25,
交流,4.8,05/14 08:24,05/14 13:11,
GDG,9.1,05/13 23:20,05/14 08:24,
Chaos,1.3,05/13 22:03,05/13 23:20,
睡眠,7.5,05/13 14:31,05/13 22:03,
GDG,2.2,05/13 12:21,05/13 14:31,
用餐,2.5,05/13 09:52,05/13 12:21,
交流,2.9,05/13 06:56,05/13 09:52,
Chaos,4.1,05/13 02:50,05/13 06:55,
交通,17.8,05/12 09:03,05/13 02:50,
用餐,1.2,05/12 07:48,05/12 09:03,
Chaos,1.0,05/12 06:50,05/12 07:48,
睡眠,6.3,05/12 00:32,05/12 06:50,
阅读,0.4,05/12 00:10,05/12 00:32,
GDG,2.6,05/11 21:32,05/12 00:10,
Chaos,8.4,05/11 13:07,05/11 21:32,
家务,4.4,05/11 08:43,05/11 13:07,
睡眠,7.2,05/11 01:29,05/11 08:43,
阅读,0.6,05/11 00:51,05/11 01:29,
Chaos,0.1,05/11 00:46,05/11 00:51,
家务,4.5,05/10 20:14,05/11 00:46,
GDG,0.9,05/10 19:19,05/10 20:14,
用餐,0.9,05/10 18:27,05/10 19:19,
GDG,0.8,05/10 17:41,05/10 18:27,
Chaos,0.5,05/10 17:11,05/10 17:41,
GDG,1.3,05/10 15:52,05/10 17:11,
Chaos,0.2,05/10 15:41,05/10 15:52,
Pt0,1.3,05/10 14:23,05/10 15:41,
家务,2.0,05/10 12:25,05/10 14:23,
家务,0.3,05/10 12:09,05/10 12:25,
工作,0.1,05/10 12:01,05/10 12:09,
家务,0.5,05/10 11:29,05/10 12:01,
Pt0,1.6,05/10 09:54,05/10 11:28,
工作,0.1,05/10 09:50,05/10 09:54,
Chaos,2.6,05/10 07:12,05/10 09:50,
睡眠,6.2,05/10 01:02,05/10 07:12,
阅读,0.9,05/10 00:06,05/10 01:02,
上网,1.8,05/09 22:05,05/09 23:55,
家务,27.2,05/09 18:54,05/10 22:05,
Chaos,0.3,05/09 18:36,05/09 18:54,
Pt0,4.2,05/09 14:26,05/09 18:36,
家务,1.5,05/09 12:58,05/09 14:26,
工作,0.8,05/09 12:12,05/09 12:58,
交流,2.1,05/09 10:06,05/09 12:12,
Pt0,0.2,05/09 09:53,05/09 10:06,
交流,0.4,05/09 09:31,05/09 09:53,
Chaos,0.4,05/09 09:07,05/09 09:31,
工作,0.1,05/09 09:03,05/09 09:07,
Chaos,1.0,05/09 08:02,05/09 09:03,
睡眠,7.6,05/09 00:28,05/09 08:02,
阅读,2.7,05/08 21:46,05/09 00:28,
家务,3.6,05/08 18:09,05/08 21:46,
工作,3.7,05/08 14:30,05/08 18:09,
Chaos,1.9,05/08 12:38,05/08 14:30,
用餐,0.5,05/08 12:05,05/08 12:38,
工作,1.5,05/08 10:33,05/08 12:05,
Chaos,1.0,05/08 09:33,05/08 10:33,
工作,0.1,05/08 09:29,05/08 09:33,
Chaos,0.7,05/08 08:50,05/08 09:29,
Chaos,0.0,05/08 08:48,05/08 08:50,
睡眠,7.1,05/08 01:41,05/08 08:48,
阅读,1.7,05/08 00:02,05/08 01:41,
Chaos,1.5,05/07 22:31,05/08 00:02,
工作,2.1,05/07 20:25,05/07 22:30,
家务,1.3,05/07 19:05,05/07 20:25,
交通,0.3,05/07 18:44,05/07 19:05,
Chaos,0.0,05/07 18:43,05/07 18:44,
工作,3.4,05/07 15:21,05/07 18:43,
交流,0.9,05/07 14:26,05/07 15:21,
购物,0.0,05/07 14:23,05/07 14:26,
Chaos,1.7,05/07 12:43,05/07 14:23,
交通,0.1,05/07 12:39,05/07 12:43,
用餐,0.5,05/07 12:12,05/07 12:39,
Chaos,1.1,05/07 11:08,05/07 12:12,
学习,1.0,05/07 10:09,05/07 11:08,
交流,0.5,05/07 09:37,05/07 10:09,
Chaos,0.9,05/07 08:45,05/07 09:37,
睡眠,7.3,05/07 01:26,05/07 08:45,
电影,2.0,05/06 23:23,05/07 01:26,
阅读,1.6,05/06 21:45,05/06 23:23,
家务,1.9,05/06 19:54,05/06 21:45,
交通,0.3,05/06 19:36,05/06 19:54,
学习,0.9,05/06 18:39,05/06 19:36,
Chaos,0.7,05/06 17:55,05/06 18:39,
交流,2.4,05/06 15:32,05/06 17:55,
工作,0.9,05/06 14:36,05/06 15:32,
Chaos,1.3,05/06 13:18,05/06 14:36,
交通,0.4,05/06 12:52,05/06 13:18,
用餐,0.1,05/06 12:48,05/06 12:52,
GDG,0.3,05/06 12:32,05/06 12:48,
Chaos,0.8,05/06 11:46,05/06 12:32,
GDG,1.2,05/06 10:35,05/06 11:46,
Chaos,0.3,05/06 10:17,05/06 10:35,
工作,0.8,05/06 09:27,05/06 10:17,
Chaos,2.0,05/06 07:28,05/06 09:27,
睡眠,6.3,05/06 01:13,05/06 07:28,
GDG,2.5,05/05 22:42,05/06 01:13,
Chaos,9.2,05/05 13:31,05/05 22:42,
家务,4.9,05/05 08:35,05/05 13:31,
睡眠,6.9,05/05 01:40,05/05 08:35,
阅读,1.2,05/05 00:28,05/05 01:40,
用餐,4.5,05/04 19:59,05/05 00:28,
Chaos,2.9,05/04 17:05,05/04 19:59,
交流,1.4,05/04 15:41,05/04 17:05,
交流,2.0,05/04 13:25,05/04 15:25,
家务,2.2,05/04 11:13,05/04 13:25,
家务,2.6,05/04 08:34,05/04 11:13,
Chaos,0.4,05/04 08:12,05/04 08:34,
睡眠,7.0,05/04 01:10,05/04 08:12,
阅读,1.6,05/03 23:33,05/04 01:10,
工作,1.7,05/03 21:52,05/03 23:33,
家务,2.2,05/03 19:43,05/03 21:52,
交通,0.5,05/03 19:15,05/03 19:43,
Chaos,0.7,05/03 18:36,05/03 19:15,
交流,0.9,05/03 17:40,05/03 18:36,
Chaos,1.7,05/03 15:58,05/03 17:40,
工作,0.6,05/03 15:21,05/03 15:58,
Chaos,0.8,05/03 14:31,05/03 15:21,
交通,0.2,05/03 14:16,05/03 14:31,
Chaos,2.0,05/03 12:13,05/03 14:16,
工作,1.3,05/03 10:54,05/03 12:13,
Chaos,2.0,05/03 08:55,05/03 10:54,
交通,0.5,05/03 08:27,05/03 08:55,
Chaos,1.0,05/03 07:29,05/03 08:27,
睡眠,4.8,05/03 02:41,05/03 07:29,
阅读,5.3,05/02 21:21,05/03 02:41,
家务,1.2,05/02 20:11,05/02 21:21,
交通,0.7,05/02 19:31,05/02 20:11,
Chaos,0.6,05/02 18:56,05/02 19:31,
用餐,0.4,05/02 18:31,05/02 18:56,
交流,1.9,05/02 16:34,05/02 18:31,
Chaos,0.4,05/02 16:09,05/02 16:34,
工作,0.1,05/02 16:00,05/02 16:09,
交流,0.1,05/02 15:55,05/02 16:00,
Chaos,0.2,05/02 15:40,05/02 15:55,
Chaos,1.4,05/02 14:16,05/02 15:40,
家务,1.3,05/02 12:55,05/02 14:16,
用餐,0.4,05/02 12:34,05/02 12:55,
工作,0.8,05/02 11:49,05/02 12:34,
Chaos,0.5,05/02 11:19,05/02 11:49,
交流,1.8,05/02 09:31,05/02 11:19,
Chaos,2.1,05/02 07:27,05/02 09:31,
睡眠,8.1,05/01 23:19,05/02 07:27,
Chaos,9.7,05/01 13:38,05/01 23:19,
交流,3.2,05/01 10:26,05/01 13:38,
交通,0.2,05/01 10:16,05/01 10:26,
用餐,0.8,05/01 09:29,05/01 10:16,
Chaos,0.4,05/01 09:03,05/01 09:29,
睡眠,7.6,05/01 01:25,05/01 09:03,
Chaos,2.0,04/30 23:27,05/01 01:25,
活动类别,持续时间,Percent
Life,368.3,48.0
Output,173.5,22.6
Chaos,164.1,21.4
Input,28.8,3.8
Livin,19.4,2.5
Life+Output,6.1,0.8
Life+Chaos,3.4,0.4
Life+Livin,1.8,0.2
Life+Input,0.9,0.1
其他,1.6,0.2
总计,768.0
